Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
54,"['Royal Challengers Bangalore', 'Sunrisers Hyderabad']","Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,67.0,,PWH de Silva
24,"['Chennai Super Kings', 'Kings XI Punjab']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,97.0,,BB McCullum
35,"['Royal Challengers Bangalore', 'Chennai Super Kings']",Maharashtra Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings,,6.0,RA Jadeja
20,"['Royal Challengers Bangalore', 'Delhi Capitals']",M.Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,,4.0,K Rabada
32,"['Kolkata Knight Riders', 'Mumbai Indians']",Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Mumbai Indians,,8.0,Q de Kock
30,"['Rajasthan Royals', 'Sunrisers Hyderabad']","Sardar Patel Stadium, Motera",Rajasthan Royals,field,Sunrisers Hyderabad,32.0,,B Kumar
4,"['Rajasthan Royals', 'Kings XI Punjab']",Sawai Mansingh Stadium,Kings XI Punjab,field,Rajasthan Royals,31.0,,AM Rahane
15,"['Mumbai Indians', 'Pune Warriors']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,41.0,,RG Sharma
16,"['Chennai Super Kings', 'Kings XI Punjab']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,unknown,,,J Theron
51,"['Mumbai Indians', 'Kings XI Punjab']",Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,7.0,,WP Saha
26,"['Delhi Daredevils', 'Kings XI Punjab']",Feroz Shah Kotla,Kings XI Punjab,field,Delhi Daredevils,29.0,,DA Warner
57,"['Kochi Tuskers Kerala', 'Kings XI Punjab']",Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,,6.0,KD Karthik
46,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",M Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,6.0,SP Narine
51,"['Kings XI Punjab', 'Deccan Chargers']",Himachal Pradesh Cricket Association Stadium,Deccan Chargers,field,Deccan Chargers,,5.0,RG Sharma
69,"['Kings XI Punjab', 'Mumbai Indians']",Himachal Pradesh Cricket Association Stadium,Mumbai Indians,field,Kings XI Punjab,50.0,,Azhar Mahmood
56,"['Mumbai Indians', 'Rajasthan Royals']",Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,5.0,CJ Anderson
44,"['Lucknow Super Giants', 'Rajasthan Royals']","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,field,Rajasthan Royals,,7.0,SV Samson
6,"['Kolkata Knight Riders', 'Deccan Chargers']",Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,9.0,,JH Kallis
34,"['Sunrisers Hyderabad', 'Chennai Super Kings']","Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,field,Sunrisers Hyderabad,22.0,,DA Warner
53,"['Kings XI Punjab', 'Chennai Super Kings']",Sheikh Zayed Stadium,Chennai Super Kings,field,Chennai Super Kings,,9.0,RD Gaikwad
55,"['Deccan Chargers', 'Delhi Daredevils']","Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,,9.0,DA Warner
35,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,,6.0,JH Kallis
48,"['Sunrisers Hyderabad', 'Kings XI Punjab']",Rajiv Gandhi International Stadium,Kings XI Punjab,field,Sunrisers Hyderabad,45.0,,DA Warner
